index,Unnamed: 0,id,text,exp_tag,amb_tag,extract_tag,tobacco_warning
27,27,swishersweets 667,Undefeated  Cop your new favorite jersey exclusively at swishergearcom    ,False,False,#SinceDay1 #FootballSeason  #Jersey  #SwisherSweets  #FootballJersey  #Swishers  #Swag  #LinkInBio  #ShopNow  #FootballsBack,False
28,28,swishersweets 101,When you hit that perfect tear you know its going to be a good smoke Spark it up its the weekend ,False,False,#SSClassicCigarillos,False
29,29,swishersweets 115,Lace up the kicks and grab the sticks ,False,False,#SSMini,False
30,30,swishersweets 673,Are you loco for Coco Let us know what you think of our latest Limited Edition  exclusively at CircleKStores holidaystationstores    ,False,False,#CocoBlue #Summertime  #SwisherSweets  #LimitedEdition  #SmokeItUp  #LightItUp  #CircleK  #Exclusive  #Cigarstagram,False
31,31,swishersweets 698,Talk about energy was bigger than one night’s worth of coverage could contain so we’re keeping it going all week long Stay plugged in to our Story for outtakes featuring fettywap1738 snapdogg LaBritney and TaylorJTakeover  ,False,False,#PackNightDetroit  #SwisherArtistProject  #DetroitVsEverybody  #PackNight  #Classof2018  #hiphop  #DetroitRapNews  #FettyWap  #KingZoo,False
32,32,swishersweets 14,Weve teamed up with DaBaby to help give an emerging artist the runway to jump start his career with the Hometown Grant Tunein tomorrow to see it all go down in Episode One of the series ,False,False,#SSAPGrant  #SSArtistProject  #LifeIsSweet,False
33,33,swishersweets 28,It’s that time of year Pull that collar up and let the holiday lights be your guide on the way home Fire up that first twilight Swisher Sweets cigarillo of the holiday season because ,False,False,#LifeIsSweet,False
34,34,swishersweets 713,Were going back to Cali on June 16th Hit that link on our profile for ticket info and details on how you can see LifeofDesiigner with this years new artists    ,False,False,#ClassOf2018  #SwisherSweets  #Swisher  #SwisherSweet  #Desiigner  #LifeofDesiigner  #LA  #LiveMusic  #HipHop,False
35,35,swishersweets 707,Our first round of New Talent took the stage last night at  Vote for your favorite now at apswishersweetscom to send one to the YearEnd Event in New Orleans later this year,False,False,#SwisherArtistProject  #PackNightLA,False
36,36,swishersweets 539,Get your shine on    ,False,False,#SwisherSweets  #Swishers  #SmokeBreak  #SinceDayOne  #RideOrDie  #SwisherMerch  #Cigarillos  #LightItUp,False
37,37,swishersweets 277,shaq dababy tylayaweh yellabeezy214 djnittigritti,False,False,None,False
38,38,swishersweets 511,Repping the shield never goes out of style    ,False,False,#SwisherSweets  #GirlsWhoSmoke  #SwisherMerch  #Swishers  #SinceDayOne  #SundayFunday,False
39,39,swishersweets 505,🚨LINEUP ALERT🚨 We’ve got lilbaby1  saintjhn taking the stage at the  Tag your concert buddy below and RSVP at    ,False,False,#ATXShowcase #LinkInBio  #SwisherSweets  #Swishers  #SwisherArtistProject  #ATXMusic  #ATX  #Austin,False
40,40,swishersweets 263,It’s time for a  I’m in 2nd place and I NEED your vote in the so I can come party with you in the 2020’s OG’s know what’s good So get to the link in the bio to vote for the MangoGuavaey goodness that is me Boozy Mango 🥭,False,False,#BoozyMangoTakeover #BlendBattle ,False
41,41,swishersweets 288,dababy needed to cool the crowd off after his 🔥 performance,False,False,None,False
42,42,swishersweets 513,This is what the weekend was made for    ,False,False,#SwisherSweets  #Swishers  #SmokeBreak  #SinceDayOne  #RideOrDie  #Cigarillos  #LightItUp  #SwisherMerch  #SaturdayNight,False
43,43,swishersweets 275,No matter the weather its always Strawberry szn  Swisher Sweets,False,False,None,False
44,44,swishersweets 261,What gives fam Tropical Ice logging in from LAST PLACE to tell you why I’m the right blend to win this  I’m the iciest edition of Tropical Fusion so you know I’ll keep you cool all year long I know it’s not personal fam but I need that vote NOW if we’re gonna win this thing Slide into that link up there and give me your vote  Tropical Ice ❄️,False,False,#BlendBattle,False
45,45,swishersweets 507,What’s sticky sweet and not going anywhere Encore Edition Sticky Sweets that’s what    ,False,False,#SwisherSweets  #EncoreEdition  #SmokeBreak  #LightItUp  #Swishers  #StickySweets  #SinceDayOne  #SaturdayNight,False
46,46,swishersweets 249,Whos gotta have their grape Show with a 🍇 below,False,False,None,False
47,47,swishersweets 711,We’re down to the final countdown for the 2018 edition of the  Who’s ridin’ with to see LifeOfDesiigner kick this party off in     ,False,False,#SwisherArtistProject #LA #SwisherSweets  #SwisherArtistProject  #HipHop  #Desiigner  #LifeOfDesiigner,False
48,48,swishersweets 705,The Pack Night Tour continues Next stop  Detroit Get your tickets using the link in our bio to catch FettyWap1738 with LaBritney snapdogg and TaylorJTakeover on July 14th at St Andrew’s Hall    ,False,False,#SwisherArtistProject  #Detroit  #SwisherSweets  #Swishers  #DetroitMusic  #MotorCity  #FettyWap  #1738  #DetroitRapNews,False
49,49,swishersweets 739,We’ve set the stage we’ve chosen the artists Now it’s time for them to show out Stay tuned for our Class of 2018 New Talent announcement  Soon 🤘,False,False,None,False
50,50,swishersweets 16,Roommates that quarantine together stay together,False,False,None,False
51,51,swishersweets 103,Only a smooth smoke will do Only ,False,False,#BLKSmooth,False
52,52,swishersweets 665,So glad Banana Smash is back for good Which Limited Edition should we add to the Encore Edition lineup this year    ,False,False,#BananaSmash  #EncoreEdition  #SwisherSweets  #Swishers  #SmokeBreak  #PassIt  #Banana  #Beach,False
53,53,swishersweets 671,The 2018 Pack Night Tour continues tonight at  Follow our story for live updates throughout the night  ,False,False,#PackNightPhilly #Philly  #SwisherArtistProject  #PackNightPhilly  #Classof2018  #HipHop  #PhillyRapNews  #MGK,False
54,54,swishersweets 117,Richer Bolder Smoother Who’s putting a BLK Smooth in the rotation this week ,False,False,#BLK,False
55,55,swishersweets 659,It’s not a party without the Swishers Tag someone that needs these tips 👇👇    ,False,False,#PartyPrepared  #LaborDayWeekend  #PoolParty  #LightItUp  #Swishers  #SmokeBreak  #SwisherSweets  #SinceDayOne  #Party  #PartyTime  #GetLit,False
56,56,swishersweets 498,Worth The Wait What blend would you want to see at the end of that line    ,False,False,#ATX  #swishersweets  #swisherartistproject,False
57,57,swishersweets 467,The peoples purple    ,False,False,#SmokeBreak  #LightItUp  #Swishers  #SwisherSweets  #Cigarstagram  #Cigarillos  #SinceDayOne  #SummerVibes  #Grape  #Classics,False
58,58,swishersweets 301,King picked up some fresh new hardware today Congrats on the ,False,False,#KIRK  #SparkAward,False
59,59,swishersweets 315,For those who are a little rough around the edges Rough cut Sweet Aromatic is ready when you are,False,False,None,False
60,60,swishersweets 473,Comment 🔥 below if you think iamcardib lights up the room like a candle     ,False,False,#SparkParty2019  #SparkAward2019  #SwisherArtistProject  #Cardib  #Cardi,False
61,61,swishersweets 329,New year AND new decade Whos ready for 2020,False,False,None,False
62,62,swishersweets 328,If you thought SAINt JHN was going to take a break after his epic 2019 then you really dont know Ghetto Lenny Go inside the mind of the Swisher Sweets Artist Project class member as he prepared for the final set on his IGNORANt FOREVER tour,False,False,None,False
63,63,swishersweets 314,All we need on a Tuesday after a long wknd,False,False,None,False
64,64,swishersweets 472,Feelin artsy might delete later 🎨    ,False,False,#SwisherSweets  #Swishers  #Cigarstagram  #Cigarillos  #EncoreEdition  #SmokeBreak  #LightItUp  #CigarsofInstagram,False
66,66,swishersweets 300,Latin Grammy WINNER djnittigritti turned up the heat on the carpet last night Tune in for live coverage of his set tonight at shaqsfunhouse ,False,False,None,False
67,67,swishersweets 499,You know it’s lit when the phones are put away    ,False,False,#ATX  #swishersweets  #swisherartistproject,False
68,68,swishersweets 658,Who’s trying to party with laflare1017 at  Tickets are going fast for the September 22nd show Get em while you can Link in bio    ,False,False,#PackNightAtlanta #SwisherArtistProject  #SwisherSweets  #GucciMane  #GucciManeLaFlare  #ATL  #ATLiens  #ATLRappers  #ATLMusic  #ATLMusicScene,False
69,69,swishersweets 670,If you weren’t in this crowd last night you missed one hell of a show Heads up ATL you’re next Get your tix now at AtlantaPackNightcom You don’t want to miss Gucci Mane live Tix are going fast Link in bio   ,False,False,#PackNightAtlanta  #Philly  #SwisherArtistProject  #PackNightPhilly  #Classof2018  #HipHop  #PhillyRapNews  #MGK,False
70,70,swishersweets 116,The Swisher Sweets Original Red show is almost over Stock up on your favorite NOW or risk missing out for good ,False,False,#SummerPromo  #SummerEdition  #SummerIsSweet,False
71,71,swishersweets 102,Nothing but good vibes heading your way fam Keep your head up and keep making the most of those little moments Because those are the moments that remind us that ,False,False,#LifeIsSweet,False
72,72,swishersweets 664,Tag someone who needs to try Limited Edition     ,False,False,#CocoBlue #LightItUp  #LifeOfTheParty  #SwisherSweets  #Swishers  #SmokeBreak  #Party  #GuysWhoSmoke  #LimitedEdition  #CircleK  #HolidayStationStores,False
73,73,swishersweets 17,Drop the songs at the top of your ,False,False,#2020Wrapped,False
74,74,swishersweets 738,Hey what’s up Hello fettywap1738 joined the Artist Project fam Friday Night to help us honor an industry legend Gucci Mane 🏹,False,False,None,False
75,75,swishersweets 704,What’s your favorite FettyWap1738 track Leave a comment below and tag a friend who needs to hear it LIVE at 👇👇👇    ,False,False,#PackNightDET  #Detroit  #SwisherSweets  #Swishers  #DetroitMusic  #MotorCity  #FettyWap  #1738  #DetroitRapNews,False
76,76,swishersweets 710,Swishers are for sharing    ,False,False,#NationalBestFriendsDay  #SwisherSweets  #Swisher  #Swishers  #SmokeBreak  #GreenSweets,False
77,77,swishersweets 248, the Swisher Sweetie who needs to add this to her closet ,False,False,#SSGear,False
78,78,swishersweets 260,Cuddle up its hoodie szn,False,False,None,False
79,79,swishersweets 506,Keep your pockets flush with Green    ,False,False,#SwisherSweets  #GreenSweets  #SmokeBreak  #MiniCigarillos  #Swishers  #Cigarstagram  #cigarsofinstagram  #LightItUp  #SinceDayOne,False
80,80,swishersweets 512,Remember when Wild Rush was a  Now that it’s an you can have it every day    ,False,False,#LimitedEdition #EncoreEdition  #SwisherSweets  #Cigarillos  #Swishers  #SmokeBreak  #LightItUp  #Cigarstagram  #CigarsOfInstagram  #SinceDayOne  #WildRush,False
81,81,swishersweets 274,The battle begins in TWO DAYS Tag a friend below so they know it’s almost go time,False,False,None,False
82,82,swishersweets 258,Whos rocking the new gear out there Let us know 👇,False,False,None,False
83,83,swishersweets 270,You sharing your Strawberry with someone this Vday Let us know 👇,False,False,None,False
84,84,swishersweets 516,Life is sweeter when you’ve got Swishers    ,False,False,#SwisherSweets  #Swishers  #SmokeBreak  #SmokingSection  #BabesWhoSmoke  #ChicksWhoSmoke  #SinceDayOne  #Classic,False
85,85,swishersweets 502,The party is going strong out here in Austin Don’t forget to follow our story for live updates    ,False,False,#ATX  #theswisherhaus  #swishersweets  #swisherartistproject,False
86,86,swishersweets 264,Straight flexin Link in bio to shop,False,False,None,False
87,87,swishersweets 728,Monday is over but Monday night is just getting started    ,False,False,#SwisherSweets  #Swisher  #SwisherSweet  #SmokeBreak  #Monday  #LightItUp,False
88,88,swishersweets 714,Drop a bar about our latest blend  SWERVE Strawberry Margarita 👇👇👇    ,False,False,#LimitedEdition  #SwisherSweets  #Swisher  #SwisherSweet  #StrawberrySwerve  #Strawberry  #Swerve  #MicDrop,False
89,89,swishersweets 700,Happy Swisher fam Stay safe out there and don’t forget the     ,False,False,#FourthOfJuly  #Swishers #SwisherSweets  #IndependenceDay  #BBQ  #BackyardParty  #SummerVibes  #Sparklers,False
90,90,swishersweets 13,Hometown Grant recipient freshprinceofbelmont doesnt know whats coming when dababy drops in to surprise him with the 10000 check ,False,False,#SSArtistProject  #SSAPGrant  #LifeIsSweet,False
91,91,swishersweets 648,Good vibes only 👇👇    ,False,False,#LightItUp #Swishers  #SmokeBreak  #SwisherSweets #SinceDayOne  #Party  #PartyTime  #GetLit,False
92,92,swishersweets 660,Life is sweet when you make it a Swisher party    ,False,False,#Cigarstagram  #Cigarillos  #Swishers  #SwisherSweets  #TearIntoTheWeekend  #SummerVibe  #SmokeBreak,False
93,93,swishersweets 106,Its a straight fact EVERYONE can pull off a black tee Get a quality one for your rotation at swishergearcom,False,False,None,False
94,94,swishersweets 112,Which Swisher Sweets Classic Cigarillo are you sparking this Friday ,False,False,#SSClassicCigarillos,False
95,95,swishersweets 674,Go loco for Coco Be on the lookout for Limited Edition  available exclusively at CircleKStores holidaystationstores    ,False,False,#CocoBlue #Summertime  #SwisherSweets  #LimitedEdition #SmokeItUp  #LightItUp  #CircleK  #Exclusive #Cigarstagram,False
96,96,swishersweets 489,The rumors are true Purple Swish is the next Special Blend    ,False,False,#SwisherSweets  #Swishers  #Cigarstagram  #Cigarillos  #SpecialBlend  #SmokeBreak  #LightItUp,False
97,97,swishersweets 338,That feeling you get when your team pulls off the big Sunday W,False,False,None,False
98,98,swishersweets 304,tylayaweh stopped by and showed us his SPARK ✨,False,False,None,False
99,99,swishersweets 462,Golden hour goodness    ,False,False,#SmokeBreak  #LightItUp  #Swishers  #SwisherSweets  #Cigarstagram  #Cigarillos  #SinceDayOne  #SummerVibes  #Mango  #Classics,False
100,100,swishersweets 476,Rare sighting of danrue not dancing🤭 Still making money moves though😉    ,False,False,#SparkParty2019  #SwisherArtistProject  #SparkAward2019,False
101,101,swishersweets 310,We hear Silver Sweets is out of this world,False,False,None,False
102,102,swishersweets 477,You know its real when she gives you the first rillo    ,False,False,#SwisherSweets  #Swishers  #Cigarstagram  #Cigarillos  #EncoreEdition  #StickySweets  #SmokeBreak  #LightItUp  #CigarsofInstagram,False
103,103,swishersweets 311,What would you do for a Silver Sweet rn,False,False,None,False
104,104,swishersweets 305,dababy pulling up to the with all the vibez,False,False,#SparkAwards ,False
106,106,swishersweets 339,Are you  Show of hands fam ✋ 👇,False,False,#TeamSilver,False
107,107,swishersweets 488,Have you tried Purple Swish yet This Special Blend of Grape  Berry wont be around forever so hurry up and get in on the action    ,False,False,#SwisherSweets  #Swishers  #Cigarstagram  #Cigarillos  #SpecialBlend   #SmokeBreak  #LightItUp  #CigarsofInstagram,False
108,108,swishersweets 113,Yall asked for a Natural Leaf Swisher Sweets Cigarillo Here you go Wheres our Original Leaf lovers at,False,False,None,False
109,109,swishersweets 675,Who’s still geekin from the weekend What did you and the crew get into    ,False,False,#WeekendVibes  #Monday  #SwisherSweets  #Swishers  #GeekinOut  #SwisherClassic  #SmokeBreak  #LightItUp,False
110,110,swishersweets 661,PARTY EVERY DAY    ,False,False,#PassIt  #SwisherSweets  #Swishers  #Classic  #LifeOfTheParty  #LightItUp  #DudesWhoSmoke  #SmokeBreak,False
111,111,swishersweets 107,Get a grip The weekend starts tomorrow ,False,False,#SSMINI,False
112,112,swishersweets 649,Tag friends that shine like Diamonds     ,False,False,#SwisherSweeties  #Cigarstagram  #Cigarillos  #LadiesWhoSmoke  #BabesWhoSmoke  #Swishers,False
113,113,swishersweets 12,Smooth  steady There’s only two weeks left in 2020 ,False,False,#SSBLK,False
114,114,swishersweets 701,Mango Mondays in full effect Who are you sharing your Swishers with today    ,False,False,#SwisherSweets  #Swisher  #Swishers  #Mango  #Monday  #SmokeBreak,False
115,115,swishersweets 715,Mango starts with “m” Memorial Day starts with “m” Can’t be a coincidence Stock up for the long weekend fam    ,False,False,#SwisherSweets  #Swisher  #Swishers  #Mango  #MemorialDayWeekend  #SmokeBreak,False
116,116,swishersweets 729,Uh oh there’s a global tequila shortage happening but luckily there’s no shortage of SWERVE Strawberry Margarita at your local convenience store It’s our gift to you from ,False,False,#SwisherSweets  #CincoDeMayo  #SwisherSweets,False
117,117,swishersweets 503,Now that’s a Haus party with no ceilings Shouts to and TheSwisherHaus for bringing the party to Fair Market    ,False,False,#ATX  #ATX  #theswisherhaus  #swishersweets,False
118,118,swishersweets 265,Head to toe reppin 🔥 Get the look with the link in our bio,False,False,None,False
119,119,swishersweets 271,From Swisher Sweets with love,False,False,None,False
120,120,swishersweets 517,Uh oh there’s a crosscountry storm brewing Stock up on Swishers and prepare for ❄️    ,False,False,#SwisherSweets  #Swishers  #SmokeBreak  #SinceDayOne  #Cigarstagram  #Diamonds  #Peach  #LightItUp,False
121,121,swishersweets 259,We did it Swerve Squad We won the  I knew my awesome blend of Strawberry Margarita was too good to stay in the vault forever Get ready is coming back  🌴Swerve,False,False,#BlendBattle #Swerve ,False
122,122,swishersweets 298,We popped some bottles celebrating dababy at last nights  Comment below if you wish you were there,False,False,#SparkAwards,False
123,123,swishersweets 529,Sticky Sweets is back Tag someone who needs to know the news about our latest Encore Edition    ,False,False,#SwisherSweets  #EncoreEdition  #SmokeBreak  #LightItUp  #Swishers  #StickySweets  #SinceDayOne,False
124,124,swishersweets 267,It’s time for the  Show your LOVE of your favorite blend this Vday All you need to do is hit the link in the bio and vote for your favorite blend once per day Voting ends on 228 ,False,False,#BlendBattle #Lettheblendbattlebegin,False
125,125,swishersweets 501,Thanks for having us theswisherhaus Having FOMO yet    ,False,False,#ATX  #theswisherhaus  #swishersweets  #swisherartistproject,False
126,126,swishersweets 515,Strike a pose with Swisher Gear It’s a vibe Get yours at httpswishergearcom    ,False,False,#SwisherSweets  #Swishers  #SwisherMerch  #SmokeBreak  #SinceDayOne  #Cigarillos,False
127,127,swishersweets 273,Get your hunny what they really want this Vday,False,False,None,False
128,128,swishersweets 703,Be ready for anything this weekend Make sure you keep a Swisher on you in case of party    ,False,False,#SwisherSweets  #Swisher  #SwisherSweet  #SmokeBreak  #LightItUp,False
129,129,swishersweets 717,Is it SeptemBRR yet Don’t miss it when none other than Gucci Mane aka laflare1017 headlines ATL Pack Night later this year Tickets are available now so you might want to get on that before they gone Details in the link in our bio    ,False,False,#SwisherSweets  #SwisherArtistProject  #HipHop  #ComingSoon  #GucciMane  #Swishers,False
130,130,swishersweets 688,Cloudy with a chance of party    ,False,False,#SummerVibes  #Summertime  #SwisherSweets  #GoodVibes  #Tatted  #SwisherSweets  #SmokeBreak,False
131,131,swishersweets 10,Get in on this 10K surprise  from dababy by heading over to IGTV to see what went down ,False,False,#SSAPGrant  #SSArtistProject  #LifeisSweet,False
132,132,swishersweets 38,The best of the slowmotion burners ,False,False,#SSLeaf,False
133,133,swishersweets 139,Get that virtual smoke sesh going 👇,False,False,None,False
134,134,swishersweets 677,Time is running out  Get your tickets now at the link in our bio we’re close to a sellout    ,False,False,#Philly #MachineGunKelly  #TheGunner  #MGK  #SwisherSweets  #PhillyMusic  #PhillyNews  #SwisherArtistProject  #PackNightPhilly,False
135,135,swishersweets 111,Why do we think  Because six feet of separation can’t stop the love when you see the fam on the street   So throw up a deuce give a nod and show love from a distance when you see them out ‘Cause you know it’s the little moments that remind us that ,False,False,#LifeIsSweet #LifeIsSweet,False
136,136,swishersweets 105,Oppose California Plan to Ban Flavored Tobacco  Contact your legislators today at httpfindyourreplegislaturecagov  ,False,False,#flavorban11,False
137,137,swishersweets 663,Show the world that you’re for life with official Swisher Sweets merchandise Shop swishergearcom and save 20 on everything using coupon code SWISHER20    ,False,False,#TeamSwisher  #Swag  #OOTD  #SwisherGear  #SwisherLife  #SwisherSweets  #FlashSale  #SwisherSweets  #Swishers,False
138,138,swishersweets 449,What’s your favorite Limited Edition blend Comment below,False,False,None,False
139,139,swishersweets 313,FULL FIRE LINEUP ANNOUNCE This is going to be the hottest show in town Hit the link in our bio to snag your tickets to ShaqsFunHouse FULL FIRE LINEUP ANNOUNCE This is going to be the hottest show in town Hit the link in our bio to snag your tickets to ShaqsFunHouse,False,False,None,False
140,140,swishersweets 475,Is Purple Swish your favorite pouch Tag a friend who needs to level up 👇    ,False,False,#SwisherSweets  #Swishers  #Cigarstagram  #Cigarillos  #SpecialBlend  #SmokeBreak  #LightItUp,False
141,141,swishersweets 461,It’s summer  Level up that wardrobe with our pre sale Use code BBQ40 at checkout     ,False,False,#SwisherFam #MemorialDayWeekend  #SwisherGear  #LinkInBio  #Swishers  #SwisherSweets  #SinceDayOne  #SummerVibes  #SwisherGear  #Swag  #GetFitted,False
142,142,swishersweets 307,Drop a in the comments to give it up for the 2020 recipient dababy and stay tuned to our IG stories tomorrow night to see BTS from the red carpet event,False,False,#VIBEZ  #SparkAward ,False
144,144,swishersweets 306,We are giving away TWO PASSES to shaqsfunhouse to see dababy LIVE on the Swisher Sweets Artist Project Stage Comment below with your favorite DaBaby lyric to enter Congrats to poojashahnanigans for winning,False,False,None,False
145,145,swishersweets 312,Get you a cigarillo that can do it all,False,False,None,False
146,146,swishersweets 474,3 of a kind always beats a full house Take a break from the party with Sticky Sweets MINI Cigarillos    ,False,False,#SwisherSweets  #Swishers  #Cigarstagram  #Cigarillos  #EncoreEdition  #StickySweets  #SmokeBreak  #LightItUp  #CigarsofInstagram  #MiniCigarillos,False
148,148,swishersweets 104,They may be small but they pack a serious punch Double tap if youve always got a MINI pouch in your back pocket ,False,False,#SSMINI,False
149,149,swishersweets 662,Staying true to all summer Tag someone who needs to get in on this blend    ,False,False,#CocoBlue  #Summertime  #SwisherSweets  #LimitedEdition  #SmokeItUp  #LightItUp  #CircleK  #Exclusive  #Cigarstagram,False
150,150,swishersweets 676,Put some Swisher swag in your rotation Save 20 on anything in our online store using coupon code SWISHER20 Go to httpsswishergearcom to shop    ,False,False,#Swag  #OOTD  #SwisherGear  #SwisherLife  #SwisherSweets  #FlashSale  #SwisherSweets  #Swishers,False
151,151,swishersweets 110,Mondays are a little bit better when you have some Swisher Sweets Classic Cigarillos on hand   Let us know if you feel the same👇 ,False,False,#SSClassicCigarillos,False
152,152,swishersweets 138,Its Saturday night so you KNOW  Lighters up if its going to be a great night fam,False,False,#LifeIsSweet,False
153,153,swishersweets 39,We know one of you has a story to tell 👇,False,False,None,False
154,154,swishersweets 11,Drop a 🔥 if you mess with ,False,False,#SSMINI,False
155,155,swishersweets 689,Have you copped your Swisher Gear yet Deals like this don’t come around very often so take advantage of our 20 off sale with coupon code SWISHER20 Link in bio   ,False,False,#Swag  #SwisherGear  #SwisherLife  #SwisherSweets  #FlashSale  #SwisherSweets  #Swishers,False
156,156,swishersweets 716,If you arent down with Boozy Watermelon get to 7Eleven and find out what’s good But hurry this exclusive blend is only available for a limited time    ,False,False,#SwisherSweets  #Swisher  #SwisherSweet  #BoozyWatermelon  #Boozy  #Watermelon  #7Eleven,False
157,157,swishersweets 702,Tag your Sunday Squad    ,False,False,#SwisherSweets  #SquadGoals  #Swishers  #Swisher  #SwisherSweet  #SmokeBreak,False
158,158,swishersweets 514,When you’ve got it all in hand    ,False,False,#SwisherSweets  #MiniCigarillos  #Swishers  #SmokeBreak  #LightItUp  #Cigarstagram  #CigarsOfInstagram  #SinceDayOne,False
159,159,swishersweets 272, your Swisher Sweetie,False,False,None,False
160,160,swishersweets 266,Who wants one Doubletap the link in our bio to score one Who wants one Doubletap the link in our bio to score one,False,False,None,False
161,161,swishersweets 500,This weekend was too real Thank you taylorbennett for an amazing performance Swisher fans you’ll be seeing a lot more of him this year😉   ,False,False,#ATX  #theswisherhaus  #swishersweets  #swisherartistproject,False
162,162,swishersweets 528,Do you rep the Shield Shop online for Swisher gear using the link in our bio    ,False,False,#SwisherSweets  #Swishers  #SmokeBreak  #SinceDayOne  #RideOrDie  #SwisherMerch  #Cigarillos  #LightItUp,False
163,163,swishersweets 299,We created some SPARKS last night Cheers to dababy ,False,False,None,False
164,164,swishersweets 598,Pass the gravy I mean the Swisher Tag someone who would enjoy one of these festive blends    ,False,False,#HappyThanksgiving  #Friendsgiving  #SweetJokes,False
165,165,swishersweets 201,Lighters up if  fam Consider this your daily reminder to be that spark,False,False,#LifeisSweet,False
166,166,swishersweets 567,Stay close this holiday season     ,False,False,#SwisherSweets  #Swishers  #SmokeBreak  #SinceDayOne  #WarmUp  #Bae  #LightItUp  #FridayFeeling,False
